Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,HDMI,Keyboard,Generation,GPU,Solid State Drive,Microphone In,Process Node,USB Ports,RAM,SSD Interface,Touch,Anti Glare Screen,Speed,Cores,Cache,Inbuilt Microphone,Utility,OS,Keyboard Backlit,Optical Drive,Resolution,RAM Bus Speed,Headphone Jack,Battery,Dimensions,Ethernet,Model,Size,Sales Package,PPI,Speakers,Camera,WiFi,Brand,Series,Battery Details,Type,Touchpad,Warranty,Features,Security Lock Port,Processor,Adapter Type,Bluetooth,Weight,Device Type,Price
3.85,392,2,2,319,1106,2352,1 x HDMI v1.4b Port,English Keyboard,5th Gen,AMD Radeon Graphics,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,4 x 2.6GHz (Turbo Speed upto 3.8GHz) Cores,"Quad Core, 8 Threads",4MB,Yes,Performance,Windows 11 Home (64-bit),No,No,1920x1080pixels,3200MHz,Yes,No,359x236x19.9mm,Yes,82KDA01BIH,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 147PPI,1.5W x 2 Stereo Speakers,"Yes, 1MP",802.11ac 1x1 Wi-Fi,AMD,V15,No,LCD Display,Yes,1year Onsite Warranty,"250 nits, Contrast Ratio - 500:1, 90° Viewing Angle",Yes,5th Gen AMD Ryzen 3 5300U,65W AC Adapter,v5,1.74kg,Ultrabook,33399.0
4.15,334,2,16,345,1270,2352,1 x HDMI v1.4b Port,"Full-size, natural silver keyboard with numeric keypad",11th Gen,Intel UHD Graphics,512GB,Yes,10 nm SuperFin,"1 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",8GB DDR4,NVMe,No,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Yes,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",358x242x17.9mm,No,15s-fq2717TU,15.6inches,"Laptop, battery, adapter, cables and user manuals",~ 141PPI,Dual Speakers,HP True Vision 720p HD Camera,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Intel,Laptop,41 Wh Li-ion,IPS,Yes,1year Onsite Warranty,"Micro-Edge, 250 nits Brightness, Color Gamut: 45% NTSC",No,11th Gen Intel Core i3 1115G4,45 W Smart AC Power Adapter,v5,1.69kg,Ultrabook,38990.0
4.1,440,2,1,345,922,2352,1 x HDMI v1.4b Port,Full-size Jet Black Keyboard with Numeric Keypad,11th Gen,Intel Integrated UHD,256GB,Yes,10 nm SuperFin,"1 x USB Type-C, 2 x USB 3.0",8GB DDR4,No,No,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Integrated Dual Array Digital Microphone,Performance,Windows 11 Home (64-bit),No,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",358x242x18mm,Integrated 10/100/1000 Gigabit Ethernet LAN,15s-du3614TU,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Dual Speakers,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Intel,15s,No,LED,Yes,1year Onsite Warranty,"Full HD LED Backlit IPS Micro-edge Display (250 nits Brightness, 141 ppi, 45% NTSC Color Gamut)",No,11th Gen Intel Core i3 1115G4,41 W AC adapter W,v5,1.75kg,Ultrabook,38890.0
4.2,79,3,17,178,1580,2352,1 x HDMI 1.4 Port,Yes,11th Gen,Intel Integrated UHD Graphics,256GB,Yes,10 nm SuperFin,"2 x USB Type-C, 2 x USB 3.0",8GB LPDDR4X,NVMe PCIe Gen3,No,No,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Built In Dual Digital Array Microphone,"Everyday Use, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,4266MHz,Yes,50Wh Battery,No,No,XL23,14inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 157PPI,Built In Dual Speakers,Yes,Yes,Intel,X2 Slim Series,No,IPS Display,Yes,1year Onsite Warranty,"300nits peak brightness, 100% sRGB, NTSC 72%",Yes,11th Gen Intel Core i3  1115G4,65W Type-C,v5.1,1.24kg,Ultrabook,29990.0
4.4,116,3,15,178,1568,2352,1 x HDMI 1.4 Port,Yes,11th Gen,Intel Integrated UHD Graphics,512GB,Yes,10 nm SuperFin,"2 x USB Type-C, 2 x USB 3.0",8GB LPDDR4X,NVMe PCIe Gen3,No,No,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Built In Dual Digital Array Microphone,"Everyday Use, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,4266MHz,Yes,50Wh Battery,No,No,1115G4,14inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 157PPI,Built In Dual Speakers,Yes,Yes,Intel,X2 Slim Series,No,"FHD, IPS Display",Yes,1year Onsite Warranty,"300nits peak brightness, 100% sRGB, NTSC 72%",Yes,11th Gen Intel Core i3  1115G4,65W Type-C,v5.1,1.24kg,Ultrabook,31990.0
4.45,57,2,65,315,457,2352,1 x HDMI 2.1 Port,"Full-size, backlit, Natural Silver keyboard, Yes",13th Gen,Intel Integrated Iris Xe,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0",16GB DDR4,NVMe,Yes,No,2 x (Turbo Speed upto 5GHz) Performance Cores  8 x (Turbo Speed upto 3.7GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Built-in Dual Array Digital Microphones,"Everyday Use, Business, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"43Wh, 3 Cell Battery",325x216x17mm,No,14-ek1020TU,14inches,"Laptop, Power Adaptor, User Guide, HP Rechargeable MPP2.0 Tilt Pen, Warranty Documents",~ 157PPI,Built-in Dual Speakers,"Yes, 5MP",Intel Wi-Fi 6E AX211 (2x2),Intel,Pavilion x360,43 Wh Li-ion,IPS,HP Imagepad with multi-touch gesture support,1year Onsite Warranty,"edge-to-edge glass, micro-edge, 250 nits, 45% NTSC",No,13th Gen Intel Core i7 1355U,65 W Smart AC power adapter,v5.3,1.41kg,2 In 1,90500.0
4.2,153,3,200,345,1919,2352,1 x HDMI 1.4 Port,No,11th Gen,Intel Integrated Iris Xe,512GB,Yes,10nm SuperFin,"2 x USB Type-C, 2 x USB 3.0",16GB LPDDR4X,No,No,No,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,"Quad Core, 8 Threads",8MB,Yes,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,No,No,No,XL25,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Speakers,Yes,Wi-Fi 5 (802.11ac),Intel,INBook X2 Plus,No,IPS FHD Display,Yes,1year Onsite Warranty,"300nits peak brightness, 100% sRGB, NTSC 72%",No,11th Gen Intel Core i5 1155G7,No,v5.1,1.58kg,Ultrabook,40990.0
4.55,89,3,354,453,1497,2352,1 x HDMI Port,No,13th Gen,Intel Iris Xe Graphics,512GB,Yes,10nm,"1 x USB Type-C, 2 x USB 3.0",8GB LPDDR5,NVMe,No,Yes,2 x (Turbo Speed upto 4.6GHz) Performance Cores  8 x (Turbo Speed upto 3.4GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Yes,Everyday Use,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,4800MHz,Yes,"54Wh, 4 Cell Battery",321.4x212x19.3mm,No,IN5430YXVW9M01ORS1,14inches,"Laptop,Adaptor, Power Cable, User Manual",~ 141PPI,No,Yes,Yes,Intel,Inspiron 5430,No,LED,Yes,1year Warranty,250 nits,No,13th Gen Intel Core i5 1335U,No,Yes,1.36kg,Netbook,65223.0
4.4,1,2,88,447,936,2352,1 x HDMI 1.4 Port,"Backlit Chiclet Keyboard with Num-key, Yes",5th Gen,AMD Radeon Graphics,512GB,Yes,No,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",16GB DDR4,No,No,Yes,8 x 1.8GHz (Turbo Speed upto 4.3GHz) Cores,"Octa Core, 16 Threads",8MB,Built-in Microphone,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"42Wh, 3 Cell Battery",359.8x235.3x18.6mm,No,KM513UA-L711WS,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Speaker,Yes,Wi-Fi 6(802.11ax),AMD,VivoBook K15 OLED,No,FHD,Yes,1year Onsite Warranty,"600 nits Peak Brightness, 100% DCI-P3 Color Gamut",No,5th Gen AMD Ryzen 7  5700U,65W AC Adapter,v5,1.8kg,Ultrabook,55990.0
4.4,6,2,10,481,727,2352,1 x HDMI Port,103- 104- 107-key FineTip,5th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",16GB DDR4,No,No,Yes,6 x 2.1GHz (Turbo Speed upto 4GHz) Cores,"Hexa Core, 12 Threads",8MB,Built-in Dual Microphone,"Everyday Use, Gaming, Business, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,No,3 Cell Battery,363.4x254.5x22.9mm,Gigabit Ethernet,A715-42G,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Two built-in stereo speakers,Yes,802.11a/b/g/n/acR2+ax wireless LAN,AMD,Aspire 7,No,TFT LCD,Touchpad with Multi-touch Gesture Support,1year Warranty,45% NTSC color gamut,No,5th Gen AMD Ryzen 5  5500U,No,v5.1,2.15kg,Netbook,59500.0
4.6,78,2,28,447,657,2352,1 x HDMI Port,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",12th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,12 nm,"1 x USB Type-C, 3 x USB 3.0",8GB DDR4,No,No,No,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB,Built-in Digital Microphone,"Everyday Use, Gaming, Business, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"50Wh, 3 Cell Battery",362.3x237.4x19.9mm,Yes,A715-51G,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built In Dual Stereo Speakers,Yes,802.11a/b/g/n+ax wireless LAN,Intel,Aspire 7,"50 Wh, Li-ion battery pack",IPS,Touchpad with Multi-touch Gesture Support,1year Warranty,No,Kensington Lock Slot,12th Gen Intel Core i5 1240P,No,v5.2,2.1kg,Netbook,56990.0
4.1,67,2,65,453,653,2352,1 x HDMI 1.4 Port,Backlit Chiclet Keyboard,5th Gen,NVIDIA GeForce RTX 3050,512GB,Yes,No,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",16GB DDR4,NVMe PCIe Gen3,No,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB,Yes,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"50Wh, 3 Cell Battery",359.8x234.3x19.9mm,No,M6500QC-HN542WS,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Speakers,Yes,Wi-Fi 6(802.11ax) Dual band) 2*2,AMD,Vivobook Pro 15,50 WHrs Li-ion,IPS-level Panel,Yes,1year Onsite Warranty,"250nits, 45% NTSC color gamut",No,5th Gen AMD Ryzen 5  5600H,No,v5,1.8kg,Netbook,63990.0
4.45,545,2,43,332,508,2352,1 x HDMI 2.0 Port,"White Backlit, English, Yes",5th Gen,NVIDIA GeForce RTX 3050,512GB,Yes,No,"2 x USB 3.0, 1 x USB 2.0",16GB DDR4,NVMe PCIe Gen3,No,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,"Octa Core, 16 Threads",16MB,Built-in Dual Array Microphone,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,45Wh Battery,359.6x251.9x24.2mm,100/1000M (RJ-45),"82K20145IN, 15ACH6, Gaming 3",15.6inches,"Laptop, Battery, Adapter, Cables, User Manuals",~ 141PPI,Built-in 2W Dual Stereo Speakers,Yes,"6, 11ax 2 x 2",AMD,IdeaPad,45Wh,IPS,Yes,1year Warranty,"250nits, 45% NTSC",No,5th Gen AMD Ryzen 7 5800H,No,v5.1,2.25kg,Netbook,74990.0
4.4,240,2,2,260,564,2352,1 x HDMI 2.0 Port,"White Backlit, English, Yes",5th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,NVMe,No,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB,Built-in Dual Array Microphone,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,45Wh Battery,359.6x251.9x24.2mm,100/1000M (RJ-45),82K2022TIN,15.6inches,"Laptop, Battery, Adapter, Cables, User Manuals",~ 141PPI,Built-in 2W Dual Stereo Speakers,Yes,"Wi-Fi 6, 11ax 2x2",AMD,"IdeaPad 15ACH6, Gaming 3",45Wh,IPS,Yes,1year Warranty,"250 nits, 45% NTSC",No,5th Gen AMD Ryzen 5 5600H,135W Slim Tip,v5,2.25kg,Netbook,51990.0
